,general_genre,book_status,genre,title,author,ratting,total_ratting,kindle_price,audiobook_price,hardcover_price,paperback_price,audioplayer_price,board_book_price,publication_date,file_size,publisher,word_wise,print_length,language,asin,text_to_speach,enhanced_typesetting,x_ray,lending,simultaneous_device_usage,screen_reader,book_content,book_link
0,Biographies and memoirs,,Specific Groups,Untamed,Glennon Doyle,4.7,21797,13.3,0.0,16.5,0.0,0,0.0,20200310,3904,The Dial Press,Enabled,302,English,B07VSZTKJ8,Enabled,Enabled,Enabled,Not Enabled,,,"#1 NEW YORK TIMES BESTSELLER • “Packed with incredible insight about what it means to be a woman today.”—Reese Witherspoon (Reese’s Book Club x Hello Sunshine Book Pick)

In her most revealing and powerful memoir yet, the activist, speaker, bestselling author, and “patron saint of female empowerment” (People) explores the joy and peace we discover when we stop striving to meet others’ expectations and start trusting the voice deep within us.

“Untamed will liberate women—emotionally, spiritually, and physically. It is phenomenal.”—Elizabeth Gilbert, author of City of Girls and Eat Pray Love

This is how you find yourself.

There is a voice of longing inside each woman. We strive so mightily to be good: good partners, daughters, mothers, employees, and friends. We hope all this striving will make us feel alive. Instead, it leaves us feeling weary, stuck, overwhelmed, and underwhelmed. We look at our lives and wonder: Wasn’t it all supposed to be more beautiful than this? We quickly silence that question, telling ourselves to be grateful, hiding our discontent—even from ourselves.

For many years, Glennon Doyle denied her own discontent. Then, while speaking at a conference, she looked at a woman across the room and fell instantly in love. Three words flooded her mind: There She Is. At first, Glennon assumed these words came to her from on high. But she soon realized they had come to her from within. This was her own voice—the one she had buried beneath decades of numbing addictions, cultural conditioning, and institutional allegiances. This was the voice of the girl she had been before the world told her who to be. Glennon decided to quit abandoning herself and to instead abandon the world’s expectations of her. She quit being good so she could be free. She quit pleasing and started living.

Soulful and uproarious, forceful and tender, Untamed is both an intimate memoir and a galvanizing wake-up call. It is the story of how one woman learned that a responsible mother is not one who slowly dies for her children, but one who shows them how to fully live. It is the story of navigating divorce, forming a new blended family, and discovering that the brokenness or wholeness of a family depends not on its structure but on each member’s ability to bring her full self to the table. And it is the story of how each of us can begin to trust ourselves enough to set boundaries, make peace with our bodies, honor our anger and heartbreak, and unleash our truest, wildest instincts so that we become women who can finally look at ourselves and say: There She Is.

Untamed shows us how to be brave. As Glennon insists: The braver we are, the luckier we get.",https://www.amazon.com/Untamed-Glennon-Doyle-ebook/dp/B07VSZTKJ8/ref=lp_5522560011_1_1?s=books&ie=UTF8&qid=1605122960&sr=1-1
1,Biographies and memoirs,Best Seller,Biographies & Memoirs,"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,4.7,9081,14.99,0.0,18.24,23.87,0,0.0,20200225,4266,Crown,Enabled,546,English,B07TRVW6VX,Enabled,Enabled,Enabled,Not Enabled,,,"#1 NEW YORK TIMES BESTSELLER • The author of The Devil in the White City and Dead Wake delivers an intimate chronicle of Winston Churchill and London during the Blitz—an inspiring portrait of courage and leadership in a time of unprecedented crisis

One of Chicago Tribune’s Best Books of the Year So Far • “A bravura performance by one of America’s greatest storytellers.”—NPR

“Churchill’s lessons of resilience and his style of steady-handed leadership are essential to the state of mind of American readers.”—Vanity Fair

On Winston Churchill’s first day as prime minister, Adolf Hitler invaded Holland and Belgium. Poland and Czechoslovakia had already fallen, and the Dunkirk evacuation was just two weeks away. For the next twelve months, Hitler would wage a relentless bombing campaign, killing 45,000 Britons. It was up to Churchill to hold his country together and persuade President Franklin Roosevelt that Britain was a worthy ally—and willing to fight to the end.

In The Splendid and the Vile, Erik Larson shows, in cinematic detail, how Churchill taught the British people “the art of being fearless.” It is a story of political brinkmanship, but it’s also an intimate domestic drama, set against the backdrop of Churchill’s prime-ministerial country home, Chequers; his wartime retreat, Ditchley, where he and his entourage go when the moon is brightest and the bombing threat is highest; and of course 10 Downing Street in London. Drawing on diaries, original archival documents, and once-secret intelligence reports—some released only recently—Larson provides a new lens on London’s darkest year through the day-to-day experience of Churchill and his family: his wife, Clementine; their youngest daughter, Mary, who chafes against her parents’ wartime protectiveness; their son, Randolph, and his beautiful, unhappy wife, Pamela; Pamela’s illicit lover, a dashing American emissary; and the advisers in Churchill’s “Secret Circle,” to whom he turns in the hardest moments.
 
The Splendid and the Vile takes readers out of today’s political dysfunction and back to a time of true leadership, when, in the face of unrelenting horror, Churchill’s eloquence, courage, and perseverance bound a country, and a family, together.",https://www.amazon.com/Splendid-Vile-Churchill-Family-Defiance-ebook/dp/B07TRVW6VX/ref=lp_5522560011_1_2?s=books&ie=UTF8&qid=1605122960&sr=1-2
2,Biographies and memoirs,Best Seller,Biographies & Memoirs,Hidden Valley Road: Inside the Mind of an American Family,Robert Kolker,4.6,3868,14.99,0.0,16.19,18.4,0,0.0,20200407,16505,Doubleday,Enabled,370,English,B07TZYFR71,Enabled,Enabled,Enabled,Not Enabled,,,"OPRAH’S BOOK CLUB PICK
#1 NEW YORK TIMES BESTSELLER

The heartrending story of a midcentury American family with twelve children, six of them diagnosed with schizophrenia, that became science's great hope in the quest to understand the disease.

Don and Mimi Galvin seemed to be living the American dream. After World War II, Don's work with the Air Force brought them to Colorado, where their twelve children perfectly spanned the baby boom: the oldest born in 1945, the youngest in 1965. In those years, there was an established script for a family like the Galvins--aspiration, hard work, upward mobility, domestic harmony--and they worked hard to play their parts. But behind the scenes was a different story: psychological breakdown, sudden shocking violence, hidden abuse. By the mid-1970s, six of the ten Galvin boys, one after another, were diagnosed as schizophrenic. How could all this happen to one family?
     What took place inside the house on Hidden Valley Road was so extraordinary that the Galvins became one of the first families to be studied by the National Institute of Mental Health. Their story offers a shadow history of the science of schizophrenia, from the era of institutionalization, lobotomy, and the schizophrenogenic mother to the search for genetic markers for the disease, always amid profound disagreements about the nature of the illness itself. And unbeknownst to the Galvins, samples of their DNA informed decades of genetic research that continues today, offering paths to treatment, prediction, and even eradication of the disease for future generations.
     With clarity and compassion, bestselling and award-winning author Robert Kolker uncovers one family's unforgettable legacy of suffering, love, and hope.",https://www.amazon.com/Hidden-Valley-Road-Inside-American-ebook/dp/B07TZYFR71/ref=lp_5522560011_1_3?s=books&ie=UTF8&qid=1605122960&sr=1-3
3,Biographies and memoirs,Best Seller,Arts & Photography,More Myself: A Journey,Alicia Keys,4.8,1882,2.99,0.0,20.98,27.63,0,0.0,20200331,2033,Flatiron Books,Enabled,257,English,B07NP3FDVD,Enabled,Enabled,Enabled,Not Enabled,,,"An intimate, revealing look at one artist’s journey from self-censorship to full expression

As one of the most celebrated musicians in the world, Alicia Keys has enraptured the globe with her heartfelt lyrics, extraordinary vocal range, and soul-stirring piano compositions. Yet away from the spotlight, Alicia has grappled with private heartache—over the challenging and complex relationship with her father, the people-pleasing nature that characterized her early career, the loss of privacy surrounding her romantic relationships, and the oppressive expectations of female perfection.

Since Alicia rose to fame, her public persona has belied a deep personal truth: she has spent years not fully recognizing or honoring her own worth. After withholding parts of herself for so long, she is at last exploring the questions that live at the heart of her story: Who am I, really? And once I discover that truth, how can I become brave enough to embrace it?

More Myself is part autobiography, part narrative documentary. Alicia’s journey is revealed not only through her own candid recounting, but also through vivid recollections from those who have walked alongside her. The result is a 360-degree perspective on Alicia’s path, from her girlhood in Hell’s Kitchen and Harlem to the process of growth and self-discovery that we all must navigate.

In More Myself, Alicia shares her quest for truth—about herself, her past, and her shift from sacrificing her spirit to celebrating her worth. With the raw honesty that epitomizes Alicia’s artistry, More Myself is at once a riveting account and a clarion call to readers: to define themselves in a world that rarely encourages a true and unique identity.",https://www.amazon.com/More-Myself-Journey-Alicia-Keys-ebook/dp/B07NP3FDVD/ref=lp_5522560011_1_4?s=books&ie=UTF8&qid=1605122960&sr=1-4
4,Biographies and memoirs,,Humor & Entertainment,"Wow, No Thank You.: Essays",Samantha Irby,4.3,1211,9.99,0.0,0.0,10.69,0,0.0,20200331,1914,Vintage,Enabled,311,English,B07W3J49XM,Enabled,Enabled,Enabled,Not Enabled,,,"*AN INSTANT #1 NEW YORK TIMES BESTSELLER*

“Stay-up-all-night, miss-your-subway-stop, spit-out-your-beverage funny.... irresistible as a snack tray, as intimately pleasurable as an Irish goodbye.”
—Jia Tolentino

From Samantha Irby, beloved author of We Are Never Meeting in Real Life, a rip-roaring, edgy and unabashedly raunchy new collection of hilarious essays.

Irby is forty, and increasingly uncomfortable in her own skin despite what Inspirational Instagram Infographics have promised her. She has left her job as a receptionist at a veterinary clinic, has published successful books and has been friendzoned by Hollywood, left Chicago, and moved into a house with a garden that requires repairs and know-how with her wife in a Blue town in the middle of a Red state where she now hosts book clubs and makes mason jar salads. This is the bourgeois life of a Hallmark Channel dream. She goes on bad dates with new friends, spends weeks in Los Angeles taking meetings with ""tv executives slash amateur astrologers"" while being a ""cheese fry-eating slightly damp Midwest person,"" ""with neck pain and no cartilage in [her] knees,"" who still hides past due bills under her pillow.

The essays in this collection draw on the raw, hilarious particulars of Irby's new life. Wow, No Thank You. is Irby at her most unflinching, riotous, and relatable.",https://www.amazon.com/Wow-No-Thank-You-Essays-ebook/dp/B07W3J49XM/ref=lp_5522560011_1_5?s=books&ie=UTF8&qid=1605122960&sr=1-5
5,Biographies and memoirs,,History,The Undocumented Americans,Karla Cornejo Villavicencio,4.7,299,13.99,0.0,18.88,0.0,0,0.0,20200324,1945,One World,Enabled,191,English,B07H73JSTJ,Enabled,Enabled,Enabled,Not Enabled,,,"FINALIST FOR THE NATIONAL BOOK AWARD • One of the first undocumented immigrants to graduate from Harvard reveals the hidden lives of her fellow undocumented Americans in this deeply personal and groundbreaking portrait of a nation.

“Karla’s book sheds light on people’s personal experiences and allows their stories to be told and their voices to be heard.”—Selena Gomez
 
Writer Karla Cornejo Villavicencio was on DACA when she decided to write about being undocumented for the first time using her own name. It was right after the election of 2016, the day she realized the story she’d tried to steer clear of was the only one she wanted to tell.  So she wrote her immigration lawyer’s phone number on her hand in Sharpie and embarked on a trip across the country to tell the stories of her fellow undocumented immigrants—and to find the hidden key to her own. 
 
Looking beyond the flashpoints of the border or the activism of the DREAMers, Cornejo Villavicencio explores the lives of the undocumented—and the mysteries of her own life. She finds the singular, effervescent characters across the nation often reduced in the media to political pawns or nameless laborers. The stories she tells are not deferential or naively inspirational but show the love, magic, heartbreak, insanity, and vulgarity that infuse the day-to-day lives of her subjects. 
 
In New York, we meet the undocumented workers who were recruited into the federally funded Ground Zero cleanup after 9/11. In Miami, we enter the ubiquitous botanicas, which offer medicinal herbs and potions to those whose status blocks them from any other healthcare options. In Flint, Michigan, we learn of demands for state ID in order to receive life-saving clean water. In Connecticut, Cornejo Villavicencio, childless by choice, finds family in two teenage girls whose father is in sanctuary. And through it all we see the author grappling with the biggest questions of love, duty, family, and survival. 
 
In her incandescent, relentlessly probing voice, Karla Cornejo Villavicencio combines sensitive reporting and powerful personal narratives to bring to light remarkable stories of resilience, madness, and death. Through these stories we come to understand what it truly means to be a stray. An expendable. A hero. An American.",https://www.amazon.com/Undocumented-America-Karla-Cornejo-Villavicencio-ebook/dp/B07H73JSTJ/ref=lp_5522560011_1_6?s=books&ie=UTF8&qid=1605122960&sr=1-6
6,Biographies and memoirs,,Humor & Entertainment,Nobody Will Tell You This But Me: A true (as told to me) story,Bess Kalb,4.4,461,11.99,0.0,12.86,0.0,0,0.0,20200317,36490,Knopf,Enabled,208,English,B07TRX3TXP,Enabled,Enabled,Enabled,Not Enabled,,,"""When I stop crying, I'm calling my mother immediately and making her read it."" --Jodi Picoult

""Comic lines as good as in any movie, and pathos as deep as in any novel"" --Mike Birbiglia

Bess Kalb, Emmy-nominated TV writer and New Yorker contributor, saved every voicemail her grandmother Bobby Bell ever left her. Bobby was a force--irrepressible, glamorous, unapologetically opinionated. Bobby doted on Bess; Bess adored Bobby. Then, at ninety, Bobby died. But in this debut memoir, Bobby is speaking to Bess once more, in a voice as passionate as it ever was in life.

Recounting both family lore and family secrets, Bobby brings us four generations of indomitable women and the men who loved them. There's Bobby's mother, who traveled solo from Belarus to America in the 1880s to escape the pogroms, and Bess's mother, a 1970s rebel who always fought against convention. Then there's Bess, who grew up in New York and entered the rough-and-tumble world of L.A. television. Her grandma Bobby was with her all the way--she was the light of Bess's childhood and her fiercest supporter, giving Bess unequivocal love, even if sometimes of the toughest kind.

In Nobody Will Tell You This But Me, Bobby reminds Bess of the experiences they shared, and she delivers--in phone calls, texts, and unforgettable heart-to-hearts brought vividly to the page--her signature wisdom:

If the earth is cracking behind you, you put one foot in front of the other.
Never. Buy. Fake. Anything.
I swear on your life every word of this is true.

With humor and poignancy, Bess Kalb gives us proof of the special bond that can skip a generation and endure beyond death. This book is a feat of extraordinary ventriloquism and imagination by a remarkably talented writer.",https://www.amazon.com/Nobody-Will-Tell-You-This-ebook/dp/B07TRX3TXP/ref=lp_5522560011_1_7?s=books&ie=UTF8&qid=1605122960&sr=1-7
7,Biographies and memoirs,,Biographies & Memoirs,"Dirt: Adventures in Lyon as a Chef in Training, Father, and Sleuth Looking for the Secret of French Cooking",Bill Buford,4.4,639,14.99,0.0,19.5,17.0,0,0.0,20200505,1578,Knopf,Enabled,410,English,B081M7TWY5,Enabled,Enabled,Enabled,Not Enabled,,,"A hilariously self-deprecating, highly obsessive account of the author's adventures, in the world of French haute cuisine, for anyone whose ever found joy in cooking and eating food with their family--from the author of the best-selling, widely acclaimed Heat.

A New York Times Book Review Editors' Choice

Bill Buford turns his inimitable attention from Italian cuisine to the food of France. Baffled by the language, but convinced that he can master the art of French cooking--or at least get to the bottom of why it is so revered-- he begins what becomes a five-year odyssey by shadowing the esteemed French chef Michel Richard, in Washington, D.C. But when Buford (quickly) realizes that a stage in France is necessary, he goes--this time with his wife and three-year-old twin sons in tow--to Lyon, the gastronomic capital of France. Studying at L'Institut Bocuse, cooking at the storied, Michelin-starred La Mère Brazier, enduring the endless hours and exacting rigeur of the kitchen, Buford becomes a man obsessed--with proving himself on the line, proving that he is worthy of the gastronomic secrets he's learning, proving that French cooking actually derives from (mon dieu!) the Italian. With his signature humor, sense of adventure, and masterly ability to immerse himself--and us--in his surroundings, Bill Buford has written what is sure to be the food-lover's book of the year.",https://www.amazon.com/Dirt-Adventures-Training-Looking-Cooking-ebook/dp/B081M7TWY5/ref=lp_5522560011_1_8?s=books&ie=UTF8&qid=1605122960&sr=1-8
8,Biographies and memoirs,Best Seller,Literature & Fiction,Minor Feelings: An Asian American Reckoning,Cathy Park Hong,4.6,301,13.99,0.0,19.99,0.0,0,0.0,20200225,2239,One World,Enabled,225,English,B07VP1SJ4F,Enabled,Enabled,Enabled,Not Enabled,,,"A ruthlessly honest, emotionally charged, and utterly original exploration of Asian American consciousness and the struggle to be human

“Brilliant . . . To read this book is to become more human.”—Claudia Rankine, author of Citizen

Poet and essayist Cathy Park Hong fearlessly and provocatively blends memoir, cultural criticism, and history to expose fresh truths about racialized consciousness in America. Part memoir and part cultural criticism, this collection is vulnerable, humorous, and provocative—and its relentless and riveting pursuit of vital questions around family and friendship, art and politics, identity and individuality, will change the way you think about our world.

Binding these essays together is Hong’s theory of “minor feelings.” As the daughter of Korean immigrants, Cathy Park Hong grew up steeped in shame, suspicion, and melancholy. She would later understand that these “minor feelings” occur when American optimism contradicts your own reality—when you believe the lies you’re told about your own racial identity. Minor feelings are not small, they’re dissonant—and in their tension Hong finds the key to the questions that haunt her. 

With sly humor and a poet’s searching mind, Hong uses her own story as a portal into a deeper examination of racial consciousness in America today. This intimate and devastating book traces her relationship to the English language, to shame and depression, to poetry and female friendship. A radically honest work of art, Minor Feelings forms a portrait of one Asian American psyche—and of a writer’s search to both uncover and speak the truth.

Praise for Minor Feelings

“Hong begins her new book of essays with a bang. . . .The essays wander a variegated terrain of memoir, criticism and polemic, oscillating between smooth proclamations of certainty and twitches of self-doubt. . . . Minor Feelings is studded with moments [of] candor and dark humor shot through with glittering self-awareness.”—The New York Times

“Hong uses her own experiences as a jumping off point to examine race and emotion in the United States.”—Newsweek (40 Must-Read Fiction and Nonfiction Books to Savor This Spring)

“Powerful . . . [Hong] brings together memoiristic personal essay and reflection, historical accounts and modern reporting, and other works of art and writing, in order to amplify a multitude of voices and capture Asian America as a collection of contradictions. She does so with sharp wit and radical transparency.”—Salon",https://www.amazon.com/Minor-Feelings-Asian-American-Reckoning-ebook/dp/B07VP1SJ4F/ref=lp_5522560011_1_9?s=books&ie=UTF8&qid=1605122960&sr=1-9
9,Biographies and memoirs,,Arts & Literature,Hollywood Park: A Memoir,Mikel Jollett,4.7,706,13.29,0.0,13.99,22.87,0,0.0,20200526,3186,Celadon Books,Enabled,369,English,B07YLJZVYD,Enabled,Enabled,Enabled,Not Enabled,,Supported,"**THE INSTANT NEW YORK TIMES BESTSELLER**

“A Gen-X This Boy’s Life...Music and his fierce brilliance boost Jollett; a visceral urge to leave his background behind propels him to excel... In the end, Jollett shakes off the past to become the captain of his own soul. Hollywood Park is a triumph.""
—O, The Oprah Magazine

""This moving and profound memoir is for anyone who loves a good redemption story.""
—Good Morning America, 20 Books We're Excited for in 2020

""Several years ago, Jollett began writing Hollywood Park, the gripping and brutally honest memoir of his life. Published in the middle of the pandemic, it has gone on to become one of the summer’s most celebrated books and a New York Times best seller...""
–Los Angeles Magazine

HOLLYWOOD PARK is a remarkable memoir of a tumultuous life. Mikel Jollett was born into one of the country’s most infamous cults, and subjected to a childhood filled with poverty, addiction, and emotional abuse. Yet, ultimately, his is a story of fierce love and family loyalty told in a raw, poetic voice that signals the emergence of a uniquely gifted writer.

We were never young. We were just too afraid of ourselves. No one told us who we were or what we were or where all our parents went. They would arrive like ghosts, visiting us for a morning, an afternoon. They would sit with us or walk around the grounds, to laugh or cry or toss us in the air while we screamed. Then they’d disappear again, for weeks, for months, for years, leaving us alone with our memories and dreams, our questions and confusion. …

So begins Hollywood Park, Mikel Jollett’s remarkable memoir. His story opens in an experimental commune in California, which later morphed into the Church of Synanon, one of the country’s most infamous and dangerous cults. Per the leader’s mandate, all children, including Jollett and his older brother, were separated from their parents when they were six months old, and handed over to the cult’s “School.” After spending years in what was essentially an orphanage, Mikel escaped the cult one morning with his mother and older brother. But in many ways, life outside Synanon was even harder and more erratic.

In his raw, poetic and powerful voice, Jollett portrays a childhood filled with abject poverty, trauma, emotional abuse, delinquency and the lure of drugs and alcohol. Raised by a clinically depressed mother, tormented by his angry older brother, subjected to the unpredictability of troubled step-fathers and longing for contact with his father, a former heroin addict and ex-con, Jollett slowly, often painfully, builds a life that leads him to Stanford University and, eventually, to finding his voice as a writer and musician.

Hollywood Park is told at first through the limited perspective of a child, and then broadens as Jollett begins to understand the world around him. Although Mikel Jollett’s story is filled with heartbreak, it is ultimately an unforgettable portrayal of love at its fiercest and most loyal.",https://www.amazon.com/Hollywood-Park-Memoir-Mikel-Jollett-ebook/dp/B07YLJZVYD/ref=lp_5522560011_1_10?s=books&ie=UTF8&qid=1605122960&sr=1-10
